Wochentag;Datum;Startzeit;Tage Saison;Max Kap;davon freie Kap;Auslastung %;Gesamt;MGL Gesa.;Gäste;Jugend;MGL 18-40;MGL 40-50;MGL 50-65;MGL 65+;Sperrung.;Internet
So;25.04.21;15:30 - 15:40;;4;0;1;4;4;0;2;0;2;0;0;0;4
Di;27.04.21;09:40 - 09:50;;4;0;1;4;4;0;0;0;2;1;1;0;0
Di;27.04.21;10:20 - 10:30;;4;0;1;4;4;0;0;0;0;4;0;0;0
Di;27.04.21;10:30 - 10:40;;4;0;1;4;4;0;0;0;0;0;4;0;0
Di;27.04.21;10:40 - 10:50;;4;0;1;4;4;0;0;0;0;2;2;0;0
Di;27.04.21;11:10 - 11:20;;4;0;1;4;4;0;0;0;0;4;0;0;0
Di;27.04.21;11:20 - 11:30;;4;0;1;4;4;0;0;0;0;2;2;0;0
Mi;28.04.21;13:00 - 13:10;;4;0;1;4;4;0;0;0;0;0;4;0;0
Mi;28.04.21;13:40 - 13:50;;4;0;1;4;4;0;0;0;0;3;1;0;0
Mi;28.04.21;14:20 - 14:30;;4;0;1;4;4;0;0;0;0;1;3;0;0
Fr;30.04.21;18:20 - 18:30;;4;0;1;4;4;0;2;0;2;0;0;0;4
Sa;01.05.21;09:20 - 09:30;;4;0;1;4;4;0;1;1;0;2;0;0;3
Sa;01.05.21;11:30 - 11:40;;4;0;1;4;4;0;2;0;1;1;0;0;4
So;02.05.21;10:20 - 10:30;;4;0;1;4;4;0;1;1;0;2;0;0;3
So;02.05.21;17:10 - 17:20;;4;0;1;4;4;0;2;0;2;0;0;0;4
Mi;05.05.21;13:00 - 13:10;;4;0;1;4;4;0;0;0;0;0;4;0;0
Mi;05.05.21;13:40 - 13:50;;4;0;1;4;4;0;0;0;0;1;3;0;0
Do;06.05.21;09:30 - 09:40;;4;0;1;4;4;0;0;0;0;0;4;0;0
Do;06.05.21;10:10 - 10:20;;4;0;1;4;4;0;0;0;0;0;4;0;0
Do;06.05.21;10:50 - 11:00;;4;0;1;4;4;0;0;0;0;0;4;0;0
Mi;16.06.21;17:00 - 17:10;;4;0;1;4;4;0;4;0;0;0;0;0;0
Do;17.06.21;07:40 - 07:50;;4;0;1;4;0;4;0;0;0;0;0;0;0
Do;17.06.21;12:50 - 13:00;;4;0;1;4;3;1;0;0;0;0;3;0;0
Do;17.06.21;13:20 - 13:30;;4;0;1;4;3;1;0;0;0;0;3;0;0
Do;17.06.21;17:40 - 17:50;;4;0;1;4;3;1;0;1;0;1;1;0;3
Do;17.06.21;18:50 - 19:00;;4;0;1;4;0;4;0;0;0;0;0;0;0
Fr;18.06.21;16:00 - 16:10;;4;0;1;4;4;0;0;0;0;2;2;0;3
Fr;18.06.21;17:00 - 17:10;;4;0;1;4;4;0;0;1;2;1;0;0;4
Sa;19.06.21;07:40 - 07:50;;4;0;1;4;0;4;0;0;0;0;0;0;0
Sa;19.06.21;07:50 - 08:00;;4;0;1;4;0;4;0;0;0;0;0;0;0
Sa;19.06.21;09:30 - 09:40;;4;0;1;4;4;0;0;0;2;2;0;0;4
Sa;19.06.21;11:50 - 12:00;;4;0;1;4;0;4;0;0;0;0;0;0;0
Sa;19.06.21;12:00 - 12:10;;4;0;1;4;0;4;0;0;0;0;0;0;0
Sa;19.06.21;15:30 - 15:40;;4;0;1;4;4;0;0;0;0;2;2;0;3
So;20.06.21;17:00 - 17:10;;4;0;1;4;4;0;0;0;0;0;4;0;2
Di;22.06.21;16:20 - 16:30;;4;0;1;4;1;3;0;0;0;0;1;0;4
Fr;25.06.21;09:20 - 09:30;;4;0;1;4;0;4;0;0;0;0;0;0;2
Fr;25.06.21;13:50 - 14:00;;4;0;1;4;4;0;1;3;0;0;0;0;3
Fr;25.06.21;15:30 - 15:40;;4;0;1;4;2;2;0;0;0;2;0;0;2
Fr;25.06.21;15:40 - 15:50;;4;0;1;4;4;0;0;0;0;3;1;0;4
Fr;25.06.21;16:50 - 17:00;;4;0;1;4;4;0;0;0;0;0;4;0;4
Fr;25.06.21;18:20 - 18:30;;4;0;1;4;4;0;0;0;0;0;4;0;4
Fr;25.06.21;18:40 - 18:50;;4;0;1;4;4;0;3;0;1;0;0;0;3
Sa;26.06.21;06:00 - 06:10;;4;0;1;4;4;0;1;1;0;2;0;0;3
Sa;26.06.21;13:50 - 14:00;;4;0;1;4;4;0;1;0;0;1;2;0;2
Sa;26.06.21;14:40 - 14:50;;4;0;1;4;4;0;1;0;1;2;0;0;4
Sa;26.06.21;15:00 - 15:10;;4;0;1;4;4;0;0;0;0;0;4;0;4
Sa;26.06.21;15:10 - 15:20;;4;0;1;4;2;2;0;0;0;2;0;0;4
Sa;26.06.21;15:20 - 15:30;;4;0;1;4;3;1;0;1;0;2;0;0;4
Sa;26.06.21;15:50 - 16:00;;4;0;1;4;4;0;0;1;1;2;0;0;4
So;27.06.21;08:50 - 09:00;;4;0;1;4;4;0;0;0;0;0;4;0;4
So;27.06.21;10:10 - 10:20;;4;0;1;4;4;0;0;0;1;3;0;0;4
So;27.06.21;11:00 - 11:10;;4;0;1;4;2;2;0;0;0;2;0;0;4
So;27.06.21;11:20 - 11:30;;4;0;1;4;3;1;0;0;0;0;3;0;4
So;27.06.21;11:40 - 11:50;;4;0;1;4;3;1;0;0;0;0;3;0;3
So;27.06.21;11:50 - 12:00;;4;0;1;4;4;0;1;2;0;1;0;0;3
So;27.06.21;12:20 - 12:30;;4;0;1;4;4;0;0;0;0;0;4;0;4
So;27.06.21;12:50 - 13:00;;4;0;1;4;1;3;0;0;0;1;0;0;0
So;27.06.21;13:20 - 13:30;;4;0;1;4;4;0;0;1;0;2;1;0;4
So;27.06.21;13:30 - 13:40;;4;0;1;4;4;0;0;0;0;0;4;0;4
So;27.06.21;17:10 - 17:20;;4;0;1;4;4;0;1;0;1;0;2;0;4
So;27.06.21;19:30 - 19:40;;4;0;1;4;4;0;1;1;0;2;0;0;4
Mo;28.06.21;11:00 - 11:10;;4;0;1;4;3;1;0;0;0;0;3;0;0
Mo;28.06.21;18:10 - 18:20;;4;0;1;4;1;3;0;0;0;1;0;0;4
Di;29.06.21;14:50 - 15:00;;4;0;1;4;2;2;0;0;0;0;2;0;4
Di;29.06.21;15:00 - 15:10;;4;0;1;4;0;4;0;0;0;0;0;0;4
Di;29.06.21;15:10 - 15:20;;4;0;1;4;2;2;0;0;0;0;2;0;4
Di;29.06.21;15:20 - 15:30;;4;0;1;4;4;0;0;0;0;3;1;0;2
Fr;02.07.21;08:40 - 08:50;;4;0;1;4;0;4;0;0;0;0;0;0;0
Fr;02.07.21;09:30 - 09:40;;4;0;1;4;0;4;0;0;0;0;0;0;4
Sa;03.07.21;08:10 - 08:20;;4;0;1;4;4;0;0;0;0;4;0;0;4
Sa;03.07.21;14:10 - 14:20;;4;0;1;4;3;1;1;2;0;0;0;0;3
Sa;03.07.21;14:20 - 14:30;;4;0;1;4;4;0;0;0;1;3;0;0;4
So;04.07.21;09:10 - 09:20;;4;0;1;4;4;0;0;1;0;2;1;0;0
So;04.07.21;14:00 - 14:10;;4;0;1;4;4;0;0;0;0;0;4;0;4
So;04.07.21;15:00 - 15:10;;4;0;1;4;4;0;0;0;0;0;4;0;0
So;04.07.21;15:10 - 15:20;;4;0;1;4;2;2;1;0;1;0;0;0;0
So;04.07.21;15:30 - 15:40;;4;0;1;4;4;0;0;1;1;2;0;0;4
So;04.07.21;16:20 - 16:30;;4;0;1;4;4;0;0;2;0;1;1;0;3
Mo;05.07.21;12:30 - 12:40;;4;0;1;4;0;4;0;0;0;0;0;0;4
Mo;05.07.21;13:00 - 13:10;;4;0;1;4;0;4;0;0;0;0;0;0;0
Mo;05.07.21;13:10 - 13:20;;4;0;1;4;0;4;0;0;0;0;0;0;0
Mo;05.07.21;16:00 - 16:10;;4;0;1;4;1;3;0;0;0;1;0;0;0
Di;06.07.21;17:10 - 17:20;;4;0;1;4;2;2;0;0;0;2;0;0;4
Mi;07.07.21;17:30 - 17:40;;4;0;1;4;4;0;0;0;1;3;0;0;4
Mi;07.07.21;18:20 - 18:30;;4;0;1;4;4;0;0;0;1;3;0;0;4
Do;08.07.21;18:10 - 18:20;;4;0;1;4;0;4;0;0;0;0;0;0;0
Fr;09.07.21;15:40 - 15:50;;4;0;1;4;4;0;0;0;0;2;2;0;3
Fr;09.07.21;17:10 - 17:20;;4;0;1;4;4;0;0;0;1;2;1;0;3
Sa;10.07.21;09:00 - 09:10;;4;0;1;4;4;0;0;0;1;3;0;0;4
Sa;10.07.21;14:00 - 14:10;;4;0;1;4;4;0;0;0;3;1;0;0;4
So;11.07.21;11:00 - 11:10;;4;0;1;4;4;0;0;0;0;1;3;0;4
So;11.07.21;11:10 - 11:20;;4;0;1;4;4;0;0;0;3;0;1;0;4
So;11.07.21;11:30 - 11:40;;4;0;1;4;4;0;0;0;0;2;2;0;4
So;11.07.21;13:20 - 13:30;;4;0;1;4;3;1;0;0;0;0;3;0;2
So;11.07.21;14:00 - 14:10;;4;0;1;4;4;0;0;0;0;0;4;0;0
So;11.07.21;14:30 - 14:40;;4;0;1;4;4;0;0;1;1;2;0;0;4
So;11.07.21;15:30 - 15:40;;4;0;1;4;4;0;1;1;0;2;0;0;3
Mo;12.07.21;11:10 - 11:20;;4;0;1;4;0;4;0;0;0;0;0;0;0
Mo;12.07.21;11:30 - 11:40;;4;0;1;4;0;4;0;0;0;0;0;0;0
Mo;12.07.21;11:40 - 11:50;;4;0;1;4;3;1;0;0;0;0;3;0;4
Mo;12.07.21;12:20 - 12:30;;4;0;1;4;0;4;0;0;0;0;0;0;0
Mo;12.07.21;16:10 - 16:20;;4;0;1;4;4;0;0;0;0;1;3;0;4
Di;13.07.21;13:50 - 14:00;;4;0;1;4;2;2;0;0;0;2;0;0;0
Di;13.07.21;14:10 - 14:20;;4;0;1;4;2;2;0;0;0;2;0;0;0
Mi;14.07.21;10:30 - 10:40;;4;0;1;4;1;3;0;0;0;0;1;0;0
Mi;14.07.21;11:10 - 11:20;;4;0;1;4;1;3;0;0;0;0;1;0;0
Mi;14.07.21;19:10 - 19:20;;4;0;1;4;4;0;0;0;1;3;0;0;4
Fr;16.07.21;11:20 - 11:30;;4;0;1;4;3;1;0;0;0;1;2;0;4
So;18.07.21;10:00 - 10:10;;4;0;1;4;4;0;0;0;0;0;4;0;2
So;18.07.21;11:10 - 11:20;;4;0;1;4;4;0;0;0;1;1;2;0;0
So;18.07.21;11:40 - 11:50;;4;0;1;4;4;0;0;0;0;0;4;0;4
So;18.07.21;13:50 - 14:00;;4;0;1;4;4;0;0;0;0;0;4;0;4
So;18.07.21;15:20 - 15:30;;4;0;1;4;4;0;0;1;0;0;3;0;4
So;18.07.21;17:40 - 17:50;;4;0;1;4;4;0;1;1;0;2;0;0;3
So;18.07.21;18:10 - 18:20;;4;0;1;4;4;0;0;0;0;4;0;0;4
Mo;19.07.21;16:00 - 16:10;;4;0;1;4;4;0;0;0;0;0;4;0;4
Mo;19.07.21;16:30 - 16:40;;4;0;1;4;4;0;0;0;0;0;4;0;3
Mo;19.07.21;17:30 - 17:40;;4;0;1;4;1;3;0;0;0;1;0;0;3
Di;20.07.21;17:40 - 17:50;;4;0;1;4;1;3;0;1;0;0;0;0;4
Di;20.07.21;19:00 - 19:10;;4;0;1;4;4;0;0;0;2;2;0;0;4
Mi;21.07.21;08:40 - 08:50;;4;0;1;4;0;4;0;0;0;0;0;0;0
Mi;21.07.21;09:50 - 10:00;;4;0;1;4;4;0;0;0;0;0;4;0;4
Mi;21.07.21;17:30 - 17:40;;4;0;1;4;4;0;0;0;1;3;0;0;4
Do;22.07.21;15:00 - 15:10;;4;0;1;4;1;3;0;0;0;0;1;0;0
Do;22.07.21;18:10 - 18:20;;4;0;1;4;0;4;0;0;0;0;0;0;0
Fr;23.07.21;08:10 - 08:20;;4;0;1;4;4;0;0;0;0;2;2;0;4
Sa;24.07.21;09:20 - 09:30;;4;0;1;4;4;0;1;1;0;2;0;0;3
Sa;24.07.21;10:00 - 10:10;;4;0;1;4;4;0;0;0;0;3;1;0;0
Sa;24.07.21;10:20 - 10:30;;4;0;1;4;4;0;0;0;0;2;2;0;1
Sa;24.07.21;16:30 - 16:40;;4;0;1;4;3;1;0;0;0;0;3;0;4
So;25.07.21;09:10 - 09:20;;4;0;1;4;4;0;0;0;0;0;4;0;4
So;25.07.21;09:30 - 09:40;;4;0;1;4;4;0;1;1;0;2;0;0;4
So;25.07.21;10:20 - 10:30;;4;0;1;4;4;0;1;1;0;2;0;0;3
So;25.07.21;10:40 - 10:50;;4;0;1;4;4;0;0;0;0;0;4;0;4
So;25.07.21;11:40 - 11:50;;4;0;1;4;4;0;0;0;0;3;1;0;3
So;25.07.21;11:50 - 12:00;;4;0;1;4;4;0;0;0;0;3;1;0;3
So;25.07.21;13:10 - 13:20;;4;0;1;4;4;0;1;2;0;1;0;0;3
So;25.07.21;16:40 - 16:50;;4;0;1;4;4;0;1;3;0;0;0;0;3
So;25.07.21;17:00 - 17:10;;4;0;1;4;4;0;2;0;0;0;2;0;4
Mo;26.07.21;15:10 - 15:20;;4;0;1;4;4;0;0;0;0;1;3;0;4
Mo;26.07.21;15:20 - 15:30;;4;0;1;4;4;0;1;3;0;0;0;0;3
Di;27.07.21;16:00 - 16:10;;4;0;1;4;3;1;0;0;0;0;3;0;4
Di;27.07.21;18:40 - 18:50;;4;0;1;4;0;4;0;0;0;0;0;0;0
Do;29.07.21;13:00 - 13:10;;4;0;1;4;4;0;0;0;0;1;3;0;3
Do;29.07.21;15:30 - 15:40;;4;0;1;4;4;0;1;0;1;0;2;0;4
Do;29.07.21;18:20 - 18:30;;4;0;1;4;4;0;0;1;0;2;1;0;3
Fr;30.07.21;10:00 - 10:10;;4;0;1;4;4;0;1;1;0;2;0;0;3
Fr;30.07.21;14:50 - 15:00;;4;0;1;4;0;4;0;0;0;0;0;0;4
Fr;30.07.21;17:40 - 17:50;;4;0;1;4;4;0;0;1;0;3;0;0;4
Sa;31.07.21;12:40 - 12:50;;4;0;1;4;4;0;0;0;0;2;2;0;2
So;01.08.21;09:00 - 09:10;;4;0;1;4;4;0;1;1;0;2;0;0;4
So;01.08.21;14:30 - 14:40;;4;0;1;4;4;0;0;0;0;0;4;0;0
Mi;04.08.21;09:10 - 09:20;;4;0;1;4;0;4;0;0;0;0;0;0;0
Do;05.08.21;15:40 - 15:50;;4;0;1;4;4;0;0;0;0;2;2;0;3
Fr;06.08.21;14:40 - 14:50;;4;0;1;4;4;0;3;0;0;1;0;0;0
Fr;06.08.21;16:10 - 16:20;;4;0;1;4;2;2;0;0;0;1;1;0;3
Sa;07.08.21;09:50 - 10:00;;4;0;1;4;2;2;0;0;0;0;2;0;4
Sa;07.08.21;10:00 - 10:10;;4;0;1;4;4;0;0;0;0;2;2;0;4
Sa;07.08.21;10:50 - 11:00;;4;0;1;4;4;0;0;1;0;2;1;0;3
Sa;07.08.21;12:30 - 12:40;;4;0;1;4;3;1;0;1;0;2;0;0;1
Sa;07.08.21;14:30 - 14:40;;4;0;1;4;4;0;0;0;0;1;3;0;0
Sa;07.08.21;16:20 - 16:30;;4;0;1;4;3;1;0;0;0;0;3;0;4
So;08.08.21;15:50 - 16:00;;4;0;1;4;4;0;0;0;0;2;2;0;4
So;08.08.21;17:20 - 17:30;;4;0;1;4;3;1;0;0;0;0;3;0;4
So;08.08.21;18:10 - 18:20;;4;0;1;4;3;1;1;0;0;2;0;0;4
Mo;09.08.21;14:10 - 14:20;;4;0;1;4;4;0;0;0;0;0;4;0;4
Di;10.08.21;08:10 - 08:20;;4;0;1;4;4;0;1;1;0;2;0;0;3
Di;10.08.21;12:50 - 13:00;;4;0;1;4;4;0;0;0;0;3;1;0;4
Di;10.08.21;17:00 - 17:10;;4;0;1;4;4;0;0;0;0;0;4;0;4
