Wochentag,Max Kap,davon freie Kap,Auslastung %,Gesamt,MGL Gesa.,Gäste,Jugend,MGL 18-40,MGL 40-50,MGL 50-65,MGL 65+,Sperrung.,Internet,time,Auslastung Gesamt,Auslastung Gäste,Auslastung MGL Gesa.,Auslastung MGL Jugend,Auslastung MGL 18-40,Auslastung MGL 40-50,Auslastung MGL 50-65,Auslastung MGL 65+,Jahr,Monat,Tag,Weekend,Stunde,Minute,Saison,monat_text
So,4,0,1.0,4,4,0,0,2,1,0,1,0,0,08:20,1.0,0.0,1.0,0.0,0.5,0.25,0.0,0.25,2021,4,18,True,8,20,April - Mai,Apr
So,4,0,1.0,4,4,0,1,0,1,1,1,0,0,08:40,1.0,0.0,1.0,0.25,0.0,0.25,0.25,0.25,2021,4,18,True,8,40,April - Mai,Apr
So,4,0,1.0,4,4,0,1,2,0,1,0,0,0,09:10,1.0,0.0,1.0,0.25,0.5,0.0,0.25,0.0,2021,4,18,True,9,10,April - Mai,Apr
So,4,0,1.0,4,4,0,1,0,0,1,2,0,0,09:30,1.0,0.0,1.0,0.25,0.0,0.0,0.25,0.5,2021,4,18,True,9,30,April - Mai,Apr
So,4,0,1.0,4,4,0,1,0,1,2,0,0,0,09:50,1.0,0.0,1.0,0.25,0.0,0.25,0.5,0.0,2021,4,18,True,9,50,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,2,0,2,0,0,10:20,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,2021,4,18,True,10,20,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,2,2,0,0,0,10:40,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,2021,4,18,True,10,40,April - Mai,Apr
So,4,0,1.0,4,4,0,1,0,1,1,1,0,0,11:00,1.0,0.0,1.0,0.25,0.0,0.25,0.25,0.25,2021,4,18,True,11,0,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,1,3,0,0,4,11:30,1.0,0.0,1.0,0.0,0.0,0.25,0.75,0.0,2021,4,18,True,11,30,April - Mai,Apr
So,4,0,1.0,4,4,0,0,2,0,2,0,0,4,15:30,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,2021,4,18,True,15,30,April - Mai,Apr
Mo,4,0,1.0,4,4,0,0,0,0,0,4,0,4,12:40,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,19,False,12,40,April - Mai,Apr
Di,4,0,1.0,4,4,0,0,0,0,0,4,0,0,00:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,20,False,0,0,April - Mai,Apr
Di,4,0,1.0,4,4,0,0,0,0,0,4,0,4,14:40,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,20,False,14,40,April - Mai,Apr
Mi,4,0,1.0,4,4,0,0,0,0,2,2,0,0,13:20,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2021,4,21,False,13,20,April - Mai,Apr
Mi,4,0,1.0,4,4,0,0,0,0,0,4,0,0,13:40,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,21,False,13,40,April - Mai,Apr
Mi,4,0,1.0,4,4,0,0,0,0,0,4,0,0,14:10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,21,False,14,10,April - Mai,Apr
Mi,4,0,1.0,4,4,0,0,0,1,3,0,0,4,17:00,1.0,0.0,1.0,0.0,0.0,0.25,0.75,0.0,2021,4,21,False,17,0,April - Mai,Apr
Do,4,0,1.0,4,4,0,0,0,0,0,4,0,0,10:10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,22,False,10,10,April - Mai,Apr
Do,4,0,1.0,4,3,1,0,0,0,0,3,0,0,10:40,1.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,2021,4,22,False,10,40,April - Mai,Apr
Do,4,0,1.0,4,4,0,0,0,0,0,4,0,0,11:20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,22,False,11,20,April - Mai,Apr
Do,4,0,1.0,4,4,0,0,0,0,0,4,0,0,11:30,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,22,False,11,30,April - Mai,Apr
Do,4,0,1.0,4,4,0,0,0,0,0,4,0,0,11:40,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,22,False,11,40,April - Mai,Apr
Do,4,0,1.0,4,4,0,0,0,0,0,4,0,0,11:50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,22,False,11,50,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,0,0,0,4,0,4,11:50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,23,False,11,50,April - Mai,Apr
Fr,4,0,1.0,4,3,1,0,0,0,0,3,0,3,12:10,1.0,0.25,0.75,0.0,0.0,0.0,0.0,0.75,2021,4,23,False,12,10,April - Mai,Apr
Fr,4,0,1.0,4,4,0,0,2,0,1,1,0,3,14:50,1.0,0.0,1.0,0.0,0.5,0.0,0.25,0.25,2021,4,23,False,14,50,April - Mai,Apr
Fr,4,0,1.0,4,4,0,2,0,2,0,0,0,4,18:10,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,2021,4,23,False,18,10,April - Mai,Apr
Sa,4,0,1.0,4,4,0,3,0,1,0,0,0,2,10:10,1.0,0.0,1.0,0.75,0.0,0.25,0.0,0.0,2021,4,24,True,10,10,April - Mai,Apr
Sa,4,0,1.0,4,4,0,0,0,0,0,4,0,4,10:50,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,24,True,10,50,April - Mai,Apr
Sa,4,0,1.0,4,4,0,0,0,0,0,4,0,2,11:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,24,True,11,0,April - Mai,Apr
Sa,4,0,1.0,4,4,0,0,1,0,3,0,0,4,12:40,1.0,0.0,1.0,0.0,0.25,0.0,0.75,0.0,2021,4,24,True,12,40,April - Mai,Apr
Sa,4,0,1.0,4,4,0,0,0,1,3,0,0,4,14:10,1.0,0.0,1.0,0.0,0.0,0.25,0.75,0.0,2021,4,24,True,14,10,April - Mai,Apr
Sa,4,0,1.0,4,4,0,1,1,0,2,0,0,3,15:00,1.0,0.0,1.0,0.25,0.25,0.0,0.5,0.0,2021,4,24,True,15,0,April - Mai,Apr
Sa,4,0,1.0,4,4,0,0,2,0,2,0,0,4,15:40,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,2021,4,24,True,15,40,April - Mai,Apr
Sa,4,0,1.0,4,4,0,2,0,2,0,0,0,4,18:10,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,2021,4,24,True,18,10,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,0,2,2,0,4,10:10,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2021,4,25,True,10,10,April - Mai,Apr
So,4,0,1.0,4,4,0,0,0,0,1,3,0,4,10:50,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.75,2021,4,25,True,10,50,April - Mai,Apr
So,4,0,1.0,4,4,0,1,1,0,2,0,0,3,11:30,1.0,0.0,1.0,0.25,0.25,0.0,0.5,0.0,2021,4,25,True,11,30,April - Mai,Apr
So,4,0,1.0,4,4,0,0,1,0,3,0,0,4,12:20,1.0,0.0,1.0,0.0,0.25,0.0,0.75,0.0,2021,4,25,True,12,20,April - Mai,Apr
So,4,0,1.0,4,4,0,1,1,1,1,0,0,3,15:00,1.0,0.0,1.0,0.25,0.25,0.25,0.25,0.0,2021,4,25,True,15,0,April - Mai,Apr
So,4,0,1.0,4,4,0,2,0,2,0,0,0,4,15:30,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,2021,4,25,True,15,30,April - Mai,Apr
Di,4,0,1.0,4,4,0,0,0,2,1,1,0,0,09:40,1.0,0.0,1.0,0.0,0.0,0.5,0.25,0.25,2021,4,27,False,9,40,April - Mai,Apr
Di,4,0,1.0,4,4,0,0,0,0,4,0,0,0,10:20,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2021,4,27,False,10,20,April - Mai,Apr
Di,4,0,1.0,4,4,0,0,0,0,0,4,0,0,10:30,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,27,False,10,30,April - Mai,Apr
Di,4,0,1.0,4,4,0,0,0,0,2,2,0,0,10:40,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2021,4,27,False,10,40,April - Mai,Apr
Di,4,0,1.0,4,4,0,0,0,0,4,0,0,0,11:10,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2021,4,27,False,11,10,April - Mai,Apr
Di,4,0,1.0,4,4,0,0,0,0,2,2,0,0,11:20,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,2021,4,27,False,11,20,April - Mai,Apr
Mi,4,0,1.0,4,4,0,0,0,0,0,4,0,0,13:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021,4,28,False,13,0,April - Mai,Apr
Mi,4,0,1.0,4,4,0,0,0,0,3,1,0,0,13:40,1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.25,2021,4,28,False,13,40,April - Mai,Apr
Mi,4,0,1.0,4,4,0,0,0,0,1,3,0,0,14:20,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.75,2021,4,28,False,14,20,April - Mai,Apr
Fr,4,0,1.0,4,4,0,2,0,2,0,0,0,4,18:20,1.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,2021,4,30,False,18,20,April - Mai,Apr
Sa,4,0,1.0,4,4,0,1,1,0,2,0,0,3,09:20,1.0,0.0,1.0,0.25,0.25,0.0,0.5,0.0,2021,5,1,True,9,20,April - Mai,Mai
Sa,4,0,1.0,4,4,0,2,0,1,1,0,0,4,11:30,1.0,0.0,1.0,0.5,0.0,0.25,0.25,0.0,2021,5,1,True,11,30,April - Mai,Mai
